id,left_employee_flag,age_years,tenure_below_1yr_flag,manager_flag,climate,climate_change,question 21,question 23
1,Leaving employees,42,0,0,76.0,,73.0,
2,Staying employees,32,0,0,83.3,10.0,85.0,
3,Staying employees,35,0,0,100.0,0.0,80.0,100.0
4,Leaving employees,30,1,0,87.5,,,80.0
5,Staying employees,64,0,0,89.7,6.3,100.0,100.0
6,Staying employees,53,0,0,91.0,,,
7,Staying employees,26,0,0,62.6,-29.7,,64.0
8,Staying employees,53,0,0,90.0,,,100.0
9,Staying employees,27,0,0,74.1,25.0,44.5,100.0
10,Staying employees,58,0,0,72.0,10.7,45.0,
11,Staying employees,30,0,0,78.0,38.3,,100.0
12,Staying employees,22,0,0,100.0,0.0,97.0,100.0
13,Staying employees,32,1,0,100.0,,,
14,Staying employees,47,0,0,100.0,,100.0,100.0
15,Staying employees,59,0,0,99.6,-1.0,100.0,100.0
16,Leaving employees,24,0,0,100.0,,,100.0
17,Staying employees,58,0,0,20.0,,80.0,
18,Staying employees,27,0,0,96.0,0.0,80.0,100.0
19,Leaving employees,23,0,0,59.7,,,100.0
20,Staying employees,36,0,0,52.5,5.7,88.5,100.0
21,Staying employees,41,0,0,96.1,4.3,89.5,100.0
22,Staying employees,41,0,0,100.0,0.0,100.0,100.0
23,Staying employees,37,0,0,97.1,6.7,100.0,100.0
24,Staying employees,48,0,0,97.0,2.0,,100.0
25,Staying employees,37,0,1,34.2,-7.0,0.0,
26,Staying employees,25,0,0,91.7,-25.0,100.0,
27,Staying employees,42,0,0,100.0,0.0,100.0,
28,Leaving employees,43,0,0,78.0,,,100.0
29,Staying employees,42,0,0,100.0,,,
30,Leaving employees,43,0,0,80.5,-6.5,100.0,67.0
31,Staying employees,25,0,0,92.5,15.0,,
32,Staying employees,34,0,0,100.0,,,100.0
33,Staying employees,30,1,0,100.0,,100.0,
34,Staying employees,44,0,1,100.0,0.0,80.0,100.0
35,Staying employees,54,0,0,88.0,-19.3,73.0,100.0
36,Staying employees,31,0,1,52.5,,,
37,Leaving employees,23,0,0,15.5,,,31.0
38,Leaving employees,36,0,0,50.8,,29.0,44.0
39,Staying employees,22,0,0,81.6,-7.7,,86.5
40,Staying employees,28,0,0,100.0,0.0,100.0,
41,Staying employees,38,0,0,78.2,-17.0,86.5,100.0
42,Staying employees,37,1,0,97.5,3.0,,100.0
43,Leaving employees,46,0,0,100.0,0.0,91.0,100.0
44,Staying employees,32,0,0,100.0,0.0,95.5,100.0
45,Staying employees,36,0,1,91.9,6.3,65.0,92.5
46,Staying employees,49,0,0,100.0,,,
47,Staying employees,37,0,0,94.7,12.3,100.0,76.0
48,Staying employees,27,1,0,86.0,28.0,,
49,Staying employees,34,0,0,79.0,,70.0,100.0
50,Staying employees,48,0,0,71.0,-2.5,10.0,80.0
51,Staying employees,54,0,1,97.6,0.0,,100.0
52,Leaving employees,39,0,0,81.5,,57.0,
53,Leaving employees,27,1,0,92.0,,,
54,Staying employees,43,1,0,66.0,-1.7,,100.0
55,Staying employees,38,0,0,61.2,-2.3,43.0,75.0
56,Staying employees,35,1,0,72.6,13.0,28.0,100.0
57,Leaving employees,19,1,0,70.0,,,
58,Staying employees,37,0,0,60.0,,,
